Height,Weight,Age,Gender,FavoriteColor,FunctionType,FunctionTime,SuitableClothImageName
170,70,30,Male,Blue,Wedding,Evening,wimagemale3.webp
162,50,26,Female,Red,Wedding,Afternoon,wimage14.webp
155,66,25,Female,Green,Beach Party,Day,imagewo1.webp
180,74,35,Male,Black,Business,Morning,imagebm1.webp
150,68,28,Female,Green,Casual,Afternoon,casualimage3.webp
160,69,32,Female,Red,Formal Dinner,Evening,fimage1.webp
130,63,22,Female,Yellow,Birthday Party,Evening,bimage3.webp
190,72,40,Male,Gray,Conference,Morning,cimage3.webp
175,71,34,Male,Black,Charity Gala,Evening,cimagemen1.webp
145,72,33,Male,Black,Wedding,Evening,wimagemale1.webp
175,50,26,Female,White,Wedding,Morning,wimage2.webp
140,65,26,Female,Red,Beach Party,Day,imagewo7.webp
175,73,37,Male,Black,Business,Morning,imagebm3.webp
155,69,30,Female,Green,Casual,Afternoon,casualwoman4.webp
165,70,31,Male,Black,Formal Dinner,Evening,fimagemen.webp
135,64,23,Female,Green,Birthday Party,Evening,bimage1.webp
150,66,28,Female,Pink,Outdoor Picnic,Day,pimage2.webp
188,73,39,Male,Gray,Conference,Morning,cimage3.webp
150,66,28,Female,Red,Outdoor Picnic,Day,pimage1.webp
170,69,33,Male,White,Charity Gala,Evening,cimagemen3.webp
140,67,26,Female,Black,Family Reunion,Afternoon,rimage1.webp
175,68,34,Male,Blue,Wedding,Evening,wimagemale5.webp
160,50,26,Female,green,Wedding,Evening,wimagegreen.webp
150,50,30,Female,green,Wedding,Evening,wimagegreen1.webp
135,63,24,Female,Red,Beach Party,Day,imagewo6.webp
185,75,38,Male,Black,Business,Morning,imagebm4.webp
160,66,29,Female,Black,Casual,Afternoon,casualwoman3.webp
150,66,28,Female,Red,Outdoor Picnic,Day,pimage1.webp
140,64,25,Female,Yellow,Birthday Party,Evening,bimage5.webp
180,50,26,Female,Black,Wedding,Evening,wimage4.webp
190,74,41,Male,Gray,Conference,Morning,cimage3.webp
145,65,27,Male,Black,Outdoor Picnic,Day,pimagemen1.webp
180,70,35,Male,Black,Charity Gala,Evening,cimagemen2.webp
138,68,26,Female,Green,Family Reunion,Afternoon,rimage2.webp
175,67,34,Male,White,Wedding,Evening,wimagemale2.webp
132,64,24,Female,Yellow,Beach Party,Day,imagewo5.webp
183,73,36,Female,Black,Business,Morning,imagebw4.webp
157,65,30,Female,Blue,Casual,Afternoon,casualimage5.webp
190,50,26,Female,Black,Wedding,Evening,wimage9.webp
137,68,26,Female,Yellow,Birthday Party,Evening,bimage4.webp
150,66,28,Female,Red,Outdoor Picnic,Day,pimage1.webp
180,50,26,Female,Pink,Wedding,Evening,wimage8.webp
137,68,26,Female,Red,Birthday Party,Evening,bimage7.webp
178,72,35,Male,Gray,Wedding,Evening,wimagemale4.webp
133,64,25,Female,White,Beach Party,Day,imagem2.webp
45,50,26,Female,purple,Wedding,Evening,wimage13.webp
183,73,36,Female,Black,Business,Evening,imagebw1.webp
157,65,30,Female,Gray,Casual,Afternoon,casualimage6.webp
178,71,33,Male,Black,Formal Dinner,Evening,fimagemen2.webp
140,50,26,Female,Yellow,Wedding,Evening,wimage10.webp
132,64,24,Male,Green,Beach Party,Day,imageM1.webp
183,73,36,Male,White,Business,Morning,imagem3.webp
175,50,26,Female,Blue,Wedding,Evening,wimage11.webp
150,68,28,Male,Blue,Casual,Afternoon,casualimage2.webp
160,69,32,Male,Brown,Formal Dinner,Evening,fimagemen1.webp
130,63,22,Male,Blue,Birthday Party,Evening,bimagemen2.webp
155,67,29,Female,Black,Outdoor Picnic,Day,pimage5.webp
120,50,26,Female,Red,Wedding,Evening,wimage16.webp
